"","geneSymbol","mRNA_medvals"
"C15ORF53","C15ORF53",0
"THBS1","THBS1",2458.3577
"PLCB2","PLCB2",340.73155
"C15ORF52","C15ORF52",254.9047
"BAHD1","BAHD1",801.1122
"DNAJC17","DNAJC17",191.5567
"PPP1R14D","PPP1R14D",0
"VPS18","VPS18",728.28415
"LTK","LTK",4.8934
"RPAP1","RPAP1",608.4351
"TYRO3","TYRO3",356.10915
"MGA","MGA",880.75445
"MAPKBP1","MAPKBP1",536.9676
"SPTBN5","SPTBN5",32.3635
"EHD4","EHD4",1474.6207
"PLA2G4E","PLA2G4E",0
"PLA2G4F","PLA2G4F",5.4022
"ZNF106","ZNF106",1858.9744
"TGM7","TGM7",0
"PATL2","PATL2",8.5501
"TRIM69","TRIM69",15.7993
"SHC4","SHC4",6.43495
"TNFAIP8L3","TNFAIP8L3",40.6901
"UNC13C","UNC13C",0.2715
"ALDH1A2","ALDH1A2",35.2915
"SLTM","SLTM",1671.7048
"ANXA2","ANXA2",12373.9941
"VPS13C","VPS13C",1201.7757
"TLN2","TLN2",462.5817
"USP3","USP3",391.0385
"HERC1","HERC1",1184.8055
"DAPK2","DAPK2",33.80675
"CSNK1G1","CSNK1G1",526.33025
"ZNF609","ZNF609",1178.38435
"RASL12","RASL12",157.1111
"UBAP1L","UBAP1L",9.2807
"CLPX","CLPX",773.0163
"IGDCC3","IGDCC3",0.9271
"DPP8","DPP8",364.6425
"MEGF11","MEGF11",1.71725
"SKOR1","SKOR1",1.5552
"ITGA11","ITGA11",241.7674
"NOX5","NOX5",3.4932
"GLCE","GLCE",856.8752
"LRRC49","LRRC49",75.96475
"MYO9A","MYO9A",356.856
"PARP6","PARP6",932.8511
"C15ORF59","C15ORF59",10.2926
"TBC1D21","TBC1D21",0
"STOML1","STOML1",282.0318
"PML","PML",1728.5348
"ARID3B","ARID3B",113.82385
"CYP1A2","CYP1A2",0
"LMAN1L","LMAN1L",0
"GOLGA6D","GOLGA6D",0
"COMMD4","COMMD4",1000
"CSPG4","CSPG4",379.8534
"ISL2","ISL2",0.3403
"ACSBG1","ACSBG1",10.47355
"IREB2","IREB2",1253.209
"CHRNB4","CHRNB4",1.6627
"ADAMTS7","ADAMTS7",152.459
"ANKRD34C","ANKRD34C",0.2959
"ARNT2","ARNT2",310.0728
"BNC1","BNC1",2.3601
"ZSCAN2","ZSCAN2",159.15315
"AGBL1","AGBL1",0
"NTRK3","NTRK3",4.4944
"WDR93","WDR93",7.0975
"ZNF710","ZNF710",292.3795
"ZNF774","ZNF774",23.938
"CRTC3","CRTC3",1130.7947
"MAN2A2","MAN2A2",1091.64535
"ST8SIA2","ST8SIA2",2.36895
"SYNM","SYNM",371.00035
"LRRK1","LRRK1",296.57245
"ATF7IP2","ATF7IP2",54.9659
"EMP2","EMP2",1564.7801
"TEKT5","TEKT5",0.9648
"SNX29","SNX29",403.9705
"TPSD1","TPSD1",3.12275
"CPPED1","CPPED1",529.9048
"PARN","PARN",1100.202
"BFAR","BFAR",1492.0791
"PTX4","PTX4",0.472
"SMG1","SMG1",2318.75205
"GPR139","GPR139",0
"PDILT","PDILT",0
"ACSM5","ACSM5",6.2479
"ZP2","ZP2",0
"POLR3E","POLR3E",619.8771
"HS3ST2","HS3ST2",20.2166
"PLK1","PLK1",765.5461
"CHP2","CHP2",0
"PRKCB","PRKCB",193.21235
"CACNG3","CACNG3",0
"RBBP6","RBBP6",1185.26675
"TNRC6A","TNRC6A",890.4692
"ZKSCAN2","ZKSCAN2",177.8955
"HS3ST4","HS3ST4",0
"C16ORF82","C16ORF82",0
"ZG16B","ZG16B",18.0796
"PRSS22","PRSS22",19.7162
"SULT1A1","SULT1A1",146.86175
"SH2B1","SH2B1",887.5916
"ZNF48","ZNF48",232.3723
"SEPHS2","SEPHS2",1966.97095
"ITGAL","ITGAL",270.735
"ITGAM","ITGAM",257.6732
"ITGAX","ITGAX",292.9607
"ZNF213","ZNF213",519.3512
"ITGAD","ITGAD",3.38365
"ZNF720","ZNF720",252.663
"OR1F1","OR1F1",0
"NLRC3","NLRC3",70.22435
"ADCY9","ADCY9",692.3149
"SHCBP1","SHCBP1",180.0265
"C16ORF78","C16ORF78",0
"RAB11FIP3","RAB11FIP3",1013.5772
"TOX3","TOX3",3.6028
"IRX6","IRX6",3.599
"GPR114","GPR114",11.7578
"CCDC113","CCDC113",185.46545
"PIGQ","PIGQ",746.74015
"CA7","CA7",0.0114
"CDH16","CDH16",0.0347
"LRRC36","LRRC36",4.82575
"RLTPR","RLTPR",25.6959
"RANBP10","RANBP10",788.54505
"TSNAXIP1","TSNAXIP1",9.039
"DPEP2","DPEP2",46.6802
"PLA2G15","PLA2G15",667.7671
"HAS3","HAS3",240.2059
"NFAT5","NFAT5",1552.6098
"SF3B3","SF3B3",3783.6923
"PHLPP2","PHLPP2",190.5086
"ZNF821","ZNF821",129.3813
"PMFBP1","PMFBP1",6.28365
"NARFL","NARFL",469.2223
"MLKL","MLKL",214.6237
"WDR59","WDR59",592.7093
"ZFP1","ZFP1",230.1196
"RPUSD1","RPUSD1",506.81355
"PKD1L2","PKD1L2",6.73515
"SDR42E1","SDR42E1",18.6243
"HSD17B2","HSD17B2",0.5407
"KCNG4","KCNG4",0
"TLDC1","TLDC1",351.34865
"CRISPLD2","CRISPLD2",584.9629
"FAM92B","FAM92B",0.31535
"FBXO31","FBXO31",484.7462
"ZCCHC14","ZCCHC14",938.041
"DEF8","DEF8",1041.701
"SHISA6","SHISA6",1.47675
"ZNF18","ZNF18",176.9053
"MAP2K4","MAP2K4",605.23285
"ARHGAP44","ARHGAP44",51.76345
"INPP5K","INPP5K",681.7995
"TEKT3","TEKT3",2.55555
"TRIM16","TRIM16",453.23225
"NCOR1","NCOR1",1670.1343
"TRPV2","TRPV2",297.74195
"CCDC144A","CCDC144A",9.0028
"MPRIP","MPRIP",1585.4077
"LRRC48","LRRC48",14.4857
"ALKBH5","ALKBH5",1936.1178
"SHMT1","SHMT1",809.68735
"SLC5A10","SLC5A10",2.7925
"SGSM2","SGSM2",825.4293
"WSB1","WSB1",1879.1364
"KSR1","KSR1",363.1967
"TRAF4","TRAF4",1914.3955
"SEZ6","SEZ6",0.0965
"MYO18A","MYO18A",1511.3101
"ABHD15","ABHD15",287.1762
"EFCAB5","EFCAB5",2.4078
"COPRS","COPRS",189.33745
"UTP6","UTP6",826.55695
"LRRC37B","LRRC37B",88.95545
"RHBDL3","RHBDL3",6.327
"TMEM98","TMEM98",943.2528
"UNC45B","UNC45B",1.1886
"SLFN14","SLFN14",1.243
"MMP28","MMP28",32.491
"CCL16","CCL16",0
"MYO19","MYO19",711.1322
"OR1E1","OR1E1",0
"AATF","AATF",1204.785
"ACACA","ACACA",1554.8997
"SYNRG","SYNRG",883.48975
"CACNB1","CACNB1",101.85195
"GSDMA","GSDMA",4.6624
"MED24","MED24",1497.8989
"WIPF2","WIPF2",1304.9828
"ITGAE","ITGAE",279.5768
"KRT25","KRT25",0
"KRT28","KRT28",0
"KRT23","KRT23",1.4903
"KRT33A","KRT33A",0
"KRT34","KRT34",0
"KRT31","KRT31",0.4117
"KRT32","KRT32",0
"KRT15","KRT15",21.1936
"CAMKK1","CAMKK1",138.35705
"KCNH4","KCNH4",2.84815
"GHDC","GHDC",576.8712
"ATP2A3","ATP2A3",296.42295
"EZH1","EZH1",485.44915
"DHX8","DHX8",1132.65645
"CD300LG","CD300LG",2.65185
"HDAC5","HDAC5",1447.5325
"ATXN7L3","ATXN7L3",1474.18
"FAM171A2","FAM171A2",8.323
"FZD2","FZD2",144.4444
"C17ORF104","C17ORF104",8.04675
"KIF18B","KIF18B",205.95985
"PLCD3","PLCD3",346.3818
"ARHGAP27","ARHGAP27",493.05595
"CDC27","CDC27",1368.1303
"SPNS3","SPNS3",4.1186
"NPEPPS","NPEPPS",1926.8807
"CDK5RAP3","CDK5RAP3",1458.2386
"TTLL6","TTLL6",7.18425
"UBE2Z","UBE2Z",3782.1012
"IGF2BP1","IGF2BP1",3.8012
"SAMD14","SAMD14",19.8848
"PPP1R9B","PPP1R9B",1796.6405
"ARRB2","ARRB2",971.6771
"TMEM92","TMEM92",11.413
"CACNA1G","CACNA1G",3.2895
"PLD2","PLD2",462.4209
"KIF1C","KIF1C",2520.5853
"TMEM100","TMEM100",13.34815
"AKAP1","AKAP1",1206.2825
"LPO","LPO",1.0103
"PRR11","PRR11",134.5961
"TUBD1","TUBD1",162.0746
"HEATR6","HEATR6",410.8495
"MED13","MED13",1707.8069
"TANC2","TANC2",1003.94335
"GH2","GH2",0
"CSHL1","CSHL1",0
"WSCD1","WSCD1",42.3213
"LRRC37A3","LRRC37A3",60.1567
"CEP112","CEP112",31.8501
"PRKCA","PRKCA",412.75325
"CACNG4","CACNG4",5.97265
"HELZ","HELZ",1077.4985
"PITPNC1","PITPNC1",267.6117
"ABCA9","ABCA9",22.72755
"MAP2K6","MAP2K6",84.43335
"SLC13A5","SLC13A5",0.79525
"BCL6B","BCL6B",152.3133
"CDC42EP4","CDC42EP4",1511.2439
"TTYH2","TTYH2",148.9185
"CD300C","CD300C",64.03725
"TMEM104","TMEM104",430.6305
"HID1","HID1",91.27215
"SRP68","SRP68",2116.471
"RNF157","RNF157",51.44005
"UBE2O","UBE2O",997.56475
"ST6GALNAC1","ST6GALNAC1",14.6991
"POLR2A","POLR2A",5090.4735
"BIRC5","BIRC5",66.8652
"FXR2","FXR2",783.1442
"C1QTNF1","C1QTNF1",409.7164
"ATP1B2","ATP1B2",14.2737
"TBC1D16","TBC1D16",354.4872
"RPTOR","RPTOR",996.4598
"KDM6B","KDM6B",969.1943
"CHD3","CHD3",2693.15225
"CCDC57","CCDC57",291.8274
"NARF","NARF",928.46245
"FOXK2","FOXK2",1483.8428
"B3GNTL1","B3GNTL1",72.43645
"AURKB","AURKB",182.2393
"ODF4","ODF4",0
"MYH10","MYH10",1579.2279
"ABR","ABR",2157.8655
"STX8","STX8",199.54345
"USP43","USP43",57.6165
"DHRS7C","DHRS7C",0
"PIEZO2","PIEZO2",56.2084
"RNMT","RNMT",996.5895
"MC5R","MC5R",0.1018
"ZNF519","ZNF519",48.4665
"GREB1L","GREB1L",23.8894
"CTAGE1","CTAGE1",4.2689
"C18ORF8","C18ORF8",433.74215
"PSMA8","PSMA8",0.0253
"CDH2","CDH2",46.4381
"DSC1","DSC1",0.3372
"MEP1B","MEP1B",0.2841
"NOL4","NOL4",0.3366
"MYOM1","MYOM1",21.3288
"COLEC12","COLEC12",104.9815
"PIK3C3","PIK3C3",519.685
"RIT2","RIT2",0
"SKA1","SKA1",123.34025
"STARD6","STARD6",0
"RAB27B","RAB27B",10.8696
"ONECUT2","ONECUT2",29.4118
"SERPINB5","SERPINB5",8.85455
"SERPINB13","SERPINB13",0.3475
"SERPINB4","SERPINB4",4.038
"SERPINB11","SERPINB11",0
"SERPINB7","SERPINB7",0.176
"SERPINB2","SERPINB2",1.5074
"CD226","CD226",22.37145
"FBXO15","FBXO15",7.9909
"ZNF407","ZNF407",294.9204
"GALR1","GALR1",0
"SALL3","SALL3",0
"NFATC1","NFATC1",364.9199
"PTPRM","PTPRM",383.4674
"MTCL1","MTCL1",145.1982
"TXNDC2","TXNDC2",0.8558
"ABCA7","ABCA7",319.6721
"HMHA1","HMHA1",615.8023
"AP1M2","AP1M2",47.4941
"SLC44A2","SLC44A2",2101.8583
"RGL3","RGL3",21.7643
"ZNF491","ZNF491",20.79885
"ZNF878","ZNF878",3.3512
"ZNF442","ZNF442",15.10265
"ZNF564","ZNF564",241.1311
"TNPO2","TNPO2",1705.7009
"CCDC130","CCDC130",388.6739
"IL27RA","IL27RA",301.7091
"ASF1B","ASF1B",754.5975
"PKN1","PKN1",2749.44435
"EMR3","EMR3",1.3494
"ZNF333","ZNF333",148.7965
"CCDC105","CCDC105",0
"AKAP8L","AKAP8L",741.6394
"WIZ","WIZ",1267.7783
"PGLYRP2","PGLYRP2",0.3488
"CYP4F8","CYP4F8",0
"CYP4F3","CYP4F3",1.6258
"OR10H5","OR10H5",0
"CYP4F2","CYP4F2",0.1843
"CYP4F11","CYP4F11",6.4888
"OR10H4","OR10H4",0
"SMIM7","SMIM7",1010.1134
"TMEM38A","TMEM38A",30.93965
"SIN3B","SIN3B",1013.289
"ATP8B3","ATP8B3",41.5699
"BST2","BST2",4896.0134
"UNC13A","UNC13A",13.2395
"MAP1S","MAP1S",724.0486
"B3GNT3","B3GNT3",56.68455
"CRTC1","CRTC1",330.55765
"ARMC6","ARMC6",532.32125
"NCAN","NCAN",0.5038
"TM6SF2","TM6SF2",5.1936
"SUGP1","SUGP1",544.34
"ZNF101","ZNF101",97.4749
"ZNF682","ZNF682",31.0816
"ZNF85","ZNF85",46.7011
"ZNF43","ZNF43",90.6261
"ZNF676","ZNF676",0.6388
"ZNF91","ZNF91",262.3025
"THOP1","THOP1",621.4465
"ZNF555","ZNF555",82.5806
"ZNF77","ZNF77",85.6497
"NFIC","NFIC",746.004
"ZFR2","ZFR2",1.0115
"TDRD12","TDRD12",0.375
"RHPN2","RHPN2",494.001
"ZNF181","ZNF181",193.0821
"FXYD5","FXYD5",1391.7591
"CD22","CD22",129.0151
"SBSN","SBSN",2.3894
"ATP4A","ATP4A",0.3372
"KMT2B","KMT2B",1115.743
"APLP1","APLP1",107.8894
"LRFN3","LRFN3",77.8871
"ZNF146","ZNF146",2162.3775
"ZNF568","ZNF568",64.814
"SHD","SHD",0.9318
"ZNF585B","ZNF585B",53.1566
"ZNF570","ZNF570",56.5665
"ZNF793","ZNF793",35.50875
"ZNF573","ZNF573",13.5243
"WDR87","WDR87",0.7003
"SIPA1L3","SIPA1L3",1000
"HNRNPL","HNRNPL",5366.77995
"SAMD4B","SAMD4B",2122.6721
"PLIN4","PLIN4",16.72835
"SUPT5H","SUPT5H",2696.6639
"SEMA6B","SEMA6B",153.7346
"PSMC4","PSMC4",1992.3975
"MAP3K10","MAP3K10",210.6339
"PLD3","PLD3",3472.883
"SERTAD3","SERTAD3",587.14885
"NUMBL","NUMBL",527.3434
"ADCK4","ADCK4",521.3729
"CYP2A13","CYP2A13",0
"AXL","AXL",629.9816
"GRIK5","GRIK5",6.6445
"ZNF574","ZNF574",593.1876
"FEM1A","FEM1A",1089.2717
"PSG8","PSG8",0
"PSG1","PSG1",0
"PSG4","PSG4",0.31885
"ARRDC5","ARRDC5",1.6474
"XRCC1","XRCC1",739.886
"ZNF222","ZNF222",66.26385
"ZNF225","ZNF225",67.4697
"ZNF234","ZNF234",132.32245
"ZNF226","ZNF226",225.0314
"ZNF227","ZNF227",233.0581
"ZNF180","ZNF180",138.2203
"PVRL2","PVRL2",1706.9122
"KDM4B","KDM4B",782.6708
"PPP5C","PPP5C",1077.4179
"PTPRS","PTPRS",1064.91835
"PTGIR","PTGIR",43.7489
"STRN4","STRN4",1991.4072
"C5AR2","C5AR2",7.0007
"MEIS3","MEIS3",79.4135
"ZNF541","ZNF541",17.87315
"TPRX1","TPRX1",0
"TMEM143","TMEM143",128.8929
"GRIN2D","GRIN2D",100.7166
"BCAT2","BCAT2",572.22175
"PLEKHA4","PLEKHA4",645.40995
"ZNRF4","ZNRF4",0
"CGB7","CGB7",14.2851
"SCAF1","SCAF1",1810.9156
"SHANK1","SHANK1",3.06885
"GPR32","GPR32",0
"KLK2","KLK2",0.75805
"SIGLEC7","SIGLEC7",47.01985
"CD33","CD33",61.56185
"CEACAM18","CEACAM18",0
"SIGLEC6","SIGLEC6",0.9612
"HAS1","HAS1",1.8683
"FPR2","FPR2",11.7273
"ZNF614","ZNF614",231.0372
"PPP2R1A","PPP2R1A",6652.0862
"ZNF766","ZNF766",329.0289
"ZNF880","ZNF880",60.0895
"ZNF534","ZNF534",4.1651
"ZNF808","ZNF808",164.3142
"ZNF701","ZNF701",78.0333
"ZNF600","ZNF600",111.9782
"ZNF468","ZNF468",374.7646
"FUT5","FUT5",0.8999
"ZNF160","ZNF160",486.09125
"ZNF665","ZNF665",6.0199
"BIRC8","BIRC8",0
"ZNF761","ZNF761",293.8624
"CACNG7","CACNG7",0.00015
"LILRA3","LILRA3",7.2397
"LILRA5","LILRA5",23.7057
"LILRA4","LILRA4",14.6665
"LENG8","LENG8",1420.5327
"LENG9","LENG9",130.0012
"LILRA2","LILRA2",35.7201
"LILRB4","LILRB4",388.56135
"KIR2DL3","KIR2DL3",0.9969
"KIR2DL1","KIR2DL1",0.429
"KIR2DL4","KIR2DL4",2.5634
"PPP6R1","PPP6R1",2042.0242
"ACSBG2","ACSBG2",0.261
"NLRP5","NLRP5",0
"ZNF667","ZNF667",24.9221
"ZNF471","ZNF471",16.1476
"ZNF835","ZNF835",1.9186
"USP29","USP29",0
"DUXA","DUXA",0
"ZNF543","ZNF543",112.0694
"ZNF547","ZNF547",37.0446
"ACER1","ACER1",0
"ZNF530","ZNF530",59.0504
"ZNF671","ZNF671",34.7571
"ZSCAN1","ZSCAN1",0.32165
"ZSCAN18","ZSCAN18",123.9906
"GTF2F1","GTF2F1",1658.37545
"ZNF274","ZNF274",529.1009
"ZNF132","ZNF132",35.9551
"ZNF324B","ZNF324B",112.11425
"ZBTB45","ZBTB45",264.6803
"SLC25A23","SLC25A23",1962.5169
"VAV1","VAV1",156.8144
"MISP","MISP",2.6596
"C19ORF45","C19ORF45",0.12995
"FCER2","FCER2",1.1076
"CLEC4M","CLEC4M",0.38825
"AZU1","AZU1",0.36735
"ELAVL1","ELAVL1",1400.2202
"PRAM1","PRAM1",35.4357
"ACTL9","ACTL9",0
"MUC16","MUC16",1.3601
"OR7G3","OR7G3",0
"OR7D2","OR7D2",0.58995
"ZNF266","ZNF266",608.65995
"ZNF121","ZNF121",67.1584
"OLFM2","OLFM2",412.7951
"TMEM74B","TMEM74B",28.0973
"RAD21L1","RAD21L1",0.39765
"SPTLC3","SPTLC3",85.56245
"SEL1L2","SEL1L2",0
"SIRPB1","SIRPB1",183.42915
"DEFB129","DEFB129",0
"ZNF133","ZNF133",265.4628
"DZANK1","DZANK1",66.9672
"RALGAPA2","RALGAPA2",278.4906
"CD93","CD93",1178.3675
"CSTL1","CSTL1",0
"CST8","CST8",0
"SYNDIG1","SYNDIG1",34.4379
"TMC2","TMC2",0.45675
"GINS1","GINS1",402.93695
"EBF4","EBF4",545.3768
"DEFB119","DEFB119",0
"TPX2","TPX2",1436.5205
"TTLL9","TTLL9",3.8121
"KIF3B","KIF3B",1551.4294
"MAPRE1","MAPRE1",3475.5959
"BPIFB4","BPIFB4",0
"BPIFA2","BPIFA2",0
"CDK5RAP1","CDK5RAP1",436.1531
"TRIB3","TRIB3",1041.81835
"PIGU","PIGU",772.6524
"MYH7B","MYH7B",5.8083
"MMP24","MMP24",224.8566
"UQCC1","UQCC1",759.29965
"CEP250","CEP250",828.81365
"ERGIC3","ERGIC3",4257.71215
"PHF20","PHF20",953.4978
"CNBD2","CNBD2",0.8962
"SLA2","SLA2",17.0324
"SOGA1","SOGA1",473.6651
"TLDC2","TLDC2",18.9635
"ATRN","ATRN",1821.20785
"MROH8","MROH8",13.409
"GHRH","GHRH",0.12215
"RBCK1","RBCK1",2097.90185
"LBP","LBP",1.0364
"FAM83D","FAM83D",421.14365
"DHX35","DHX35",216.5882
"CENPB","CENPB",2375.3007
"L3MBTL1","L3MBTL1",67.32825
"SGK2","SGK2",12.1136
"GTSF1L","GTSF1L",0
"TOX2","TOX2",63.6833
"PABPC1L","PABPC1L",228.60035
"WFDC5","WFDC5",0.3091
"WFDC12","WFDC12",0.1893
"PI3","PI3",13.25755
"MATN4","MATN4",1.57165
"RBPJL","RBPJL",0
"WFDC3","WFDC3",11.8989
"ZNF334","ZNF334",19.3657
"EYA2","EYA2",28.0882
"NCOA3","NCOA3",1341.9257
"PREX1","PREX1",1005.78525
"DDX27","DDX27",1319.3901
"B4GALT5","B4GALT5",2298.0238
"FAM65C","FAM65C",16.661
"NFATC2","NFATC2",37.34665
"ATP9A","ATP9A",1588.8921
"ZFP64","ZFP64",428.9753
"CDS2","CDS2",779.392
"TSHZ2","TSHZ2",28.9953
"ZNF217","ZNF217",1269.65615
"BCAS1","BCAS1",13.33535
"GPCPD1","GPCPD1",527.1264
"SPO11","SPO11",0
"PMEPA1","PMEPA1",2050.8744
"APCDD1L","APCDD1L",14.12075
"SYCP2","SYCP2",19.8638
"CDH26","CDH26",4.06275
"TAF4","TAF4",402.39505
"SS18L1","SS18L1",346.2286
"HRH3","HRH3",0.17135
"OSBPL2","OSBPL2",987.0629
"MRGBP","MRGBP",521.8855
"PTK6","PTK6",30.0204
"HELZ2","HELZ2",689.4808
"GMEB2","GMEB2",520.0271
"TCEA2","TCEA2",307.4919
"ANGPT4","ANGPT4",0.0145
"LAMP5","LAMP5",52.6557
"NRIP1","NRIP1",1261.0932
"CXADR","CXADR",119.6516
"ADAMTS5","ADAMTS5",93.0546
"N6AMT1","N6AMT1",210.9621
"RWDD2B","RWDD2B",13.024
"BACH1","BACH1",803.3883
"KRTAP26-1","KRTAP26-1",0
"KRTAP13-1","KRTAP13-1",0
"URB1","URB1",1026.6073
"EVA1C","EVA1C",373.9119
"TCP10L","TCP10L",17.0878
"C21ORF59","C21ORF59",797.3621
"TMEM50B","TMEM50B",1073.4045
"ATP5O","ATP5O",2848.53995
"CLIC6","CLIC6",19.0371
"SETD4","SETD4",317.2623
"DOPEY2","DOPEY2",668.7483
"RIPPLY3","RIPPLY3",1.4416
"MX2","MX2",226.2565
"C2CD2","C2CD2",301.0432
"ABCG1","ABCG1",528.6229
"TFF2","TFF2",0
"UBASH3A","UBASH3A",10.846
"TRAPPC10","TRAPPC10",1045.7846
"PWP2","PWP2",786.17285
"TRPM2","TRPM2",271.6818
"TPTE","TPTE",0.99985
"CECR1","CECR1",837.4019
"CECR2","CECR2",8.5187
"BID","BID",927.8906
"DGCR2","DGCR2",2605.0109
"TANGO2","TANGO2",409.443
"ZNF74","ZNF74",287.5115
"KLHL22","KLHL22",401.43495
"RTDR1","RTDR1",1.3543
"RAB36","RAB36",276.811
"CABIN1","CABIN1",1421.5425
"SGSM1","SGSM1",4.4779
"MYO18B","MYO18B",0.9488
"ZNRF3","ZNRF3",346.1794
"EMID1","EMID1",64.7727
"SF3A1","SF3A1",2926.1771
"MORC2","MORC2",998.3449
"SMTN","SMTN",986.75465
"INPP5J","INPP5J",65.051
"SFI1","SFI1",285.1331
"RTCB","RTCB",1976.18475
"IFT27","IFT27",460.50085
"MPST","MPST",691.1857
"SSTR3","SSTR3",0.3372
"MFNG","MFNG",186.8616
"GGA1","GGA1",1198.0193
"NPTXR","NPTXR",214.6051
"CACNA1I","CACNA1I",4.383
"GRAP2","GRAP2",42.5035
"TNRC6B","TNRC6B",811.4165
"MKL1","MKL1",1042.8021
"RANGAP1","RANGAP1",1770.0244
"MEI1","MEI1",25.3939
"FAM118A","FAM118A",266.1667
"SMC1B","SMC1B",3.5601
"PKDREJ","PKDREJ",7.2959
"TTC38","TTC38",589.2955
"GTSE1","GTSE1",271.64685
"CELSR1","CELSR1",1369.059
"FAM19A5","FAM19A5",93.23135
"ZBED4","ZBED4",732.411
"TTLL8","TTLL8",0
"PANX2","PANX2",23.023
"DENND6B","DENND6B",93.2502
"ARMCX1","ARMCX1",425.4841
"NXF5","NXF5",0
"BEX5","BEX5",4.383
"GLRA4","GLRA4",0
"H2BFWT","H2BFWT",0
"NRK","NRK",4.8242
"MUM1L1","MUM1L1",9.77125
"PIH1D3","PIH1D3",0
"TEX13B","TEX13B",0
"COL4A6","COL4A6",6.91105
"GUCY2F","GUCY2F",0
"RGAG1","RGAG1",3.8865
"ARHGAP6","ARHGAP6",25.9879
"ZCCHC16","ZCCHC16",0
"WDR44","WDR44",364.8568
"ZCCHC12","ZCCHC12",2.8642
"LONRF3","LONRF3",44.23095
"SLC25A43","SLC25A43",461.54535
"TMEM255A","TMEM255A",37.0729
"THOC2","THOC2",1171.5355
"STAG2","STAG2",1943.08075
"DCAF12L1","DCAF12L1",0
"BCORL1","BCORL1",390.7923
"ZNF280C","ZNF280C",90.23805
"FAM9C","FAM9C",0.0035
"ARHGAP36","ARHGAP36",0
"HS6ST2","HS6ST2",16.62045
"MAP7D3","MAP7D3",209.767
"HTATSF1","HTATSF1",1723.9411
"CDR1","CDR1",1.5822
"MAGEC3","MAGEC3",0
"SLITRK4","SLITRK4",9.4403
"UBE2NL","UBE2NL",2.4825
"MAGEA11","MAGEA11",0.46765
"GPR50","GPR50",0
"PASD1","PASD1",0
"GABRE","GABRE",15.1715
"GABRA3","GABRA3",13.66785
"MAGEA3","MAGEA3",0.39575
"PNMA3","PNMA3",9.3923
"ZNF275","ZNF275",522.4618
"PNCK","PNCK",5.9465
"PLXNA3","PLXNA3",715.032
"CTAG2","CTAG2",0
"GAB3","GAB3",79.5135
"MPP1","MPP1",374.2641
"BRCC3","BRCC3",507.53035
"BMX","BMX",7.2235
"IL9R","IL9R",4.32545
"ACE2","ACE2",12.5441
"GRPR","GRPR",2.9755
"SCML1","SCML1",114.5862
"BEND2","BEND2",0
"MAP3K15","MAP3K15",1.43855
"CXORF23","CXORF23",126.2602
"APOO","APOO",331.8825
"ZFX","ZFX",601.8583
"PPP2R3B","PPP2R3B",112.3859
"POLA1","POLA1",364.9196
"MAGEB18","MAGEB18",0
"ARSD","ARSD",1219.1816
"ARSF","ARSF",0.0254
"FAM47A","FAM47A",0
"TMEM47","TMEM47",149.8227
"CHDC2","CHDC2",0
"FAM47C","FAM47C",0
"SRPX","SRPX",54.2907
"MED14","MED14",1233.02415
"USP9X","USP9X",3081.9184
"MAOB","MAOB",165.6253
"JADE3","JADE3",369.3301
"USP11","USP11",2115.3206
"SSX6","SSX6",0
"SSX1","SSX1",0
"SLC38A5","SLC38A5",149.6948
"TBC1D25","TBC1D25",453.77615
"GLOD5","GLOD5",2.1329
"CCNB3","CCNB3",11.2903
"DGKK","DGKK",0
"XAGE5","XAGE5",0
"WNK3","WNK3",8.417
"PAGE5","PAGE5",0.9798
"FOXR2","FOXR2",0
"ASB12","ASB12",10.1101
"MTMR8","MTMR8",6.87615
"HEPH","HEPH",156.90985
"PJA1","PJA1",571.5975
"ZMYM3","ZMYM3",934.322
"OGT","OGT",2337.9558
"NAP1L2","NAP1L2",5.01965
"CHIC1","CHIC1",323.7272
"KIAA2022","KIAA2022",2.4462
"ZCCHC5","ZCCHC5",0.4088
"LPAR4","LPAR4",2.3458
"CYLC1","CYLC1",0
"DACH2","DACH2",0.0047
"KLHL4","KLHL4",8.50575
"FAM9B","FAM9B",0
"NOX1","NOX1",0.5289
"NLGN4Y","NLGN4Y",42.92585
"KDM5D","KDM5D",750.0741
"PRKY","PRKY",199.8583
"ADH5","ADH5",2430.6272
"ZNF518B","ZNF518B",403.26915
"DAPP1","DAPP1",63.0844
"SLC9B2","SLC9B2",110.2668
"BDH2","BDH2",535.9116
"DKK2","DKK2",23.0321
"ARSJ","ARSJ",112.9644
"ADAD1","ADAD1",0
"SLC25A31","SLC25A31",0
"CTCF","CTCF",1522.38145
"DDX59","DDX59",341.98555
"SPAG1","SPAG1",134.1928
"CCDC65","CCDC65",4.2642
"GMPPA","GMPPA",689.9576
"PLS3","PLS3",2163.99
"STAC3","STAC3",54.7969
"RARB","RARB",90.47975
"DNAJC6","DNAJC6",64.42595
"TTI2","TTI2",198.4839
"ERMARD","ERMARD",243.5509
"SYNE4","SYNE4",4.0541
"GFI1B","GFI1B",0.2841
"PAX5","PAX5",5.9956
"NR1I3","NR1I3",9.72825
"RPL15","RPL15",23122.8304
"PAX1","PAX1",0
"SLC35A3","SLC35A3",282.1125
"TBC1D7","TBC1D7",387.63505
"TRAPPC5","TRAPPC5",588.4257
"NEK2","NEK2",238.92925
"ASNS","ASNS",696.7781
